g_Na	g_Cl	g_K	kb	Category
53.333333333333336	5.0	29.333333333333332	16.973684210526315	SN-SupH | Sup H - Infinity
53.333333333333336	5.555555555555555	29.333333333333332	16.973684210526315	SN-SupH | Sup H - Infinity
53.333333333333336	6.111111111111111	29.333333333333332	16.973684210526315	SN-SupH | Sup H - Infinity
53.333333333333336	6.666666666666667	29.333333333333332	16.973684210526315	SN-SupH | Sup H - Infinity
53.333333333333336	7.222222222222222	29.333333333333332	16.973684210526315	SN-SupH | Sup H - Infinity
53.333333333333336	7.777777777777778	29.333333333333332	16.973684210526315	SN-SupH | Sup H - Infinity
53.333333333333336	8.333333333333334	29.333333333333332	16.973684210526315	SN-SupH | Sup H - SH
53.333333333333336	8.88888888888889	29.333333333333332	16.973684210526315	SN-SupH | Sup H - SH
53.333333333333336	9.444444444444445	29.333333333333332	16.973684210526315	SN-SH
53.333333333333336	10.0	29.333333333333332	16.973684210526315	SN-SH
26.666666666666664	5.0	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
26.666666666666664	5.555555555555555	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
26.666666666666664	6.111111111111111	14.666666666666668	17.5	SN-SupH | Sup H - SH
26.666666666666664	6.666666666666667	14.666666666666668	17.5	SN-SH
26.666666666666664	7.222222222222222	14.666666666666668	17.5	no signal
26.666666666666664	7.777777777777778	14.666666666666668	17.5	no signal
26.666666666666664	8.333333333333334	14.666666666666668	17.5	no signal
26.666666666666664	8.88888888888889	14.666666666666668	17.5	no signal
26.666666666666664	9.444444444444445	14.666666666666668	17.5	no signal
26.666666666666664	10.0	14.666666666666668	17.5	no signal
29.629629629629626	5.0	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	5.555555555555555	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	6.111111111111111	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	6.666666666666667	14.666666666666668	17.5	SN-SupH | Sup H - SH
29.629629629629626	7.222222222222222	14.666666666666668	17.5	SN-SupH | Sup H - SH
29.629629629629626	7.777777777777778	14.666666666666668	17.5	SN-SH
29.629629629629626	8.333333333333334	14.666666666666668	17.5	no signal
29.629629629629626	8.88888888888889	14.666666666666668	17.5	no signal
29.629629629629626	9.444444444444445	14.666666666666668	17.5	no signal
29.629629629629626	10.0	14.666666666666668	17.5	no signal
32.592592592592595	5.0	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	5.555555555555555	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	6.111111111111111	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	6.666666666666667	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	7.222222222222222	14.666666666666668	17.5	SN-SupH | Sup H - SH
32.592592592592595	7.777777777777778	14.666666666666668	17.5	SN-SupH | Sup H - SH
32.592592592592595	8.333333333333334	14.666666666666668	17.5	SN-SH
32.592592592592595	8.88888888888889	14.666666666666668	17.5	no signal
32.592592592592595	9.444444444444445	14.666666666666668	17.5	no signal
32.592592592592595	10.0	14.666666666666668	17.5	no signal
35.55555555555556	5.0	14.666666666666668	17.5	SN-SupH
35.55555555555556	5.555555555555555	14.666666666666668	17.5	SN-SupH
35.55555555555556	6.111111111111111	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	6.666666666666667	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	7.222222222222222	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	7.777777777777778	14.666666666666668	17.5	SN-SupH | Sup H - SH
35.55555555555556	8.333333333333334	14.666666666666668	17.5	SN-SupH | Sup H - SH
35.55555555555556	8.88888888888889	14.666666666666668	17.5	SN-SupH | Sup H - SH
35.55555555555556	9.444444444444445	14.666666666666668	17.5	no signal
35.55555555555556	10.0	14.666666666666668	17.5	no signal
38.51851851851852	5.0	14.666666666666668	17.5	SN-SupH
38.51851851851852	5.555555555555555	14.666666666666668	17.5	SN-SupH
38.51851851851852	6.111111111111111	14.666666666666668	17.5	SN-SupH
38.51851851851852	6.666666666666667	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	7.222222222222222	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	7.777777777777778	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	8.333333333333334	14.666666666666668	17.5	SN-SupH | Sup H - SH
38.51851851851852	8.88888888888889	14.666666666666668	17.5	SN-SupH | Sup H - SH
38.51851851851852	9.444444444444445	14.666666666666668	17.5	SN-SupH | Sup H - SH
38.51851851851852	10.0	14.666666666666668	17.5	SN-SupH | Sup H - SH
41.48148148148148	5.0	14.666666666666668	17.5	SN-SupH
41.48148148148148	5.555555555555555	14.666666666666668	17.5	SN-SupH
41.48148148148148	6.111111111111111	14.666666666666668	17.5	SN-SupH
41.48148148148148	6.666666666666667	14.666666666666668	17.5	SN-SupH
41.48148148148148	7.222222222222222	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	7.777777777777778	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	8.333333333333334	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	8.88888888888889	14.666666666666668	17.5	SN-SupH | Sup H - SH
41.48148148148148	9.444444444444445	14.666666666666668	17.5	SN-SupH | Sup H - SH
41.48148148148148	10.0	14.666666666666668	17.5	SN-SupH | Sup H - SH
44.44444444444444	5.0	14.666666666666668	17.5	SN-SupH
44.44444444444444	5.555555555555555	14.666666666666668	17.5	SN-SupH
44.44444444444444	6.111111111111111	14.666666666666668	17.5	SN-SupH
44.44444444444444	6.666666666666667	14.666666666666668	17.5	SN-SupH
44.44444444444444	7.222222222222222	14.666666666666668	17.5	SN-SupH
44.44444444444444	7.777777777777778	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	8.333333333333334	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	8.88888888888889	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	9.444444444444445	14.666666666666668	17.5	SN-SupH | Sup H - SH
44.44444444444444	10.0	14.666666666666668	17.5	SN-SupH | Sup H - SH
47.40740740740741	5.0	14.666666666666668	17.5	SN-SupH
47.40740740740741	5.555555555555555	14.666666666666668	17.5	SN-SupH
47.40740740740741	6.111111111111111	14.666666666666668	17.5	SN-SupH
47.40740740740741	6.666666666666667	14.666666666666668	17.5	SN-SupH
47.40740740740741	7.222222222222222	14.666666666666668	17.5	SN-SupH
47.40740740740741	7.777777777777778	14.666666666666668	17.5	SN-SupH
47.40740740740741	8.333333333333334	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	8.88888888888889	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	9.444444444444445	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	10.0	14.666666666666668	17.5	SN-SupH | Sup H - SH
50.370370370370374	5.0	14.666666666666668	17.5	SN-SupH
50.370370370370374	5.555555555555555	14.666666666666668	17.5	SN-SupH
50.370370370370374	6.111111111111111	14.666666666666668	17.5	SN-SupH
50.370370370370374	6.666666666666667	14.666666666666668	17.5	SN-SupH
50.370370370370374	7.222222222222222	14.666666666666668	17.5	SN-SupH
50.370370370370374	7.777777777777778	14.666666666666668	17.5	SN-SupH
50.370370370370374	8.333333333333334	14.666666666666668	17.5	SN-SupH
50.370370370370374	8.88888888888889	14.666666666666668	17.5	SN-SupH
50.370370370370374	9.444444444444445	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
50.370370370370374	10.0	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
53.333333333333336	5.0	14.666666666666668	17.5	SN-SupH
53.333333333333336	5.555555555555555	14.666666666666668	17.5	SN-SupH
53.333333333333336	6.111111111111111	14.666666666666668	17.5	SN-SupH
53.333333333333336	6.666666666666667	14.666666666666668	17.5	SN-SupH
53.333333333333336	7.222222222222222	14.666666666666668	17.5	SN-SupH
53.333333333333336	7.777777777777778	14.666666666666668	17.5	SN-SupH
53.333333333333336	8.333333333333334	14.666666666666668	17.5	SN-SupH
53.333333333333336	8.88888888888889	14.666666666666668	17.5	SN-SupH
53.333333333333336	9.444444444444445	14.666666666666668	17.5	SN-SupH
53.333333333333336	10.0	14.666666666666668	17.5	SN-SupH | Sup H - Infinity
26.666666666666664	5.0	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
26.666666666666664	5.555555555555555	18.333333333333336	17.5	SN-SH
26.666666666666664	6.111111111111111	18.333333333333336	17.5	SN-SH
26.666666666666664	6.666666666666667	18.333333333333336	17.5	SN-SH
26.666666666666664	7.222222222222222	18.333333333333336	17.5	SN-SH
26.666666666666664	7.777777777777778	18.333333333333336	17.5	no signal
26.666666666666664	8.333333333333334	18.333333333333336	17.5	no signal
26.666666666666664	8.88888888888889	18.333333333333336	17.5	no signal
26.666666666666664	9.444444444444445	18.333333333333336	17.5	no signal
26.666666666666664	10.0	18.333333333333336	17.5	no signal
29.629629629629626	5.0	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	5.555555555555555	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	6.111111111111111	18.333333333333336	17.5	SN-SH
29.629629629629626	6.666666666666667	18.333333333333336	17.5	SN-SH
29.629629629629626	7.222222222222222	18.333333333333336	17.5	SN-SH
29.629629629629626	7.777777777777778	18.333333333333336	17.5	SN-SH
29.629629629629626	8.333333333333334	18.333333333333336	17.5	no signal
29.629629629629626	8.88888888888889	18.333333333333336	17.5	no signal
29.629629629629626	9.444444444444445	18.333333333333336	17.5	no signal
29.629629629629626	10.0	18.333333333333336	17.5	no signal
32.592592592592595	5.0	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	5.555555555555555	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	6.111111111111111	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
32.592592592592595	6.666666666666667	18.333333333333336	17.5	SN-SupH | Sup H - SH
32.592592592592595	7.222222222222222	18.333333333333336	17.5	SN-SH
32.592592592592595	7.777777777777778	18.333333333333336	17.5	SN-SH
32.592592592592595	8.333333333333334	18.333333333333336	17.5	SN-SH
32.592592592592595	8.88888888888889	18.333333333333336	17.5	no signal
32.592592592592595	9.444444444444445	18.333333333333336	17.5	no signal
32.592592592592595	10.0	18.333333333333336	17.5	no signal
35.55555555555556	5.0	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	5.555555555555555	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	6.111111111111111	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	6.666666666666667	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
35.55555555555556	7.222222222222222	18.333333333333336	17.5	SN-SupH | Sup H - SH
35.55555555555556	7.777777777777778	18.333333333333336	17.5	SN-SH
35.55555555555556	8.333333333333334	18.333333333333336	17.5	SN-SH
35.55555555555556	8.88888888888889	18.333333333333336	17.5	SN-SH
35.55555555555556	9.444444444444445	18.333333333333336	17.5	SN-SH
35.55555555555556	10.0	18.333333333333336	17.5	no signal
38.51851851851852	5.0	18.333333333333336	17.5	SN-SupH
38.51851851851852	5.555555555555555	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	6.111111111111111	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	6.666666666666667	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	7.222222222222222	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
38.51851851851852	7.777777777777778	18.333333333333336	17.5	SN-SupH | Sup H - SH
38.51851851851852	8.333333333333334	18.333333333333336	17.5	SN-SupH | Sup H - SH
38.51851851851852	8.88888888888889	18.333333333333336	17.5	SN-SH
38.51851851851852	9.444444444444445	18.333333333333336	17.5	SN-SH
38.51851851851852	10.0	18.333333333333336	17.5	SN-SH
41.48148148148148	5.0	18.333333333333336	17.5	SN-SupH
41.48148148148148	5.555555555555555	18.333333333333336	17.5	SN-SupH
41.48148148148148	6.111111111111111	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	6.666666666666667	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	7.222222222222222	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	7.777777777777778	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
41.48148148148148	8.333333333333334	18.333333333333336	17.5	SN-SupH | Sup H - SH
41.48148148148148	8.88888888888889	18.333333333333336	17.5	SN-SupH | Sup H - SH
41.48148148148148	9.444444444444445	18.333333333333336	17.5	SN-SH
41.48148148148148	10.0	18.333333333333336	17.5	SN-SH
44.44444444444444	5.0	18.333333333333336	17.5	SN-SupH
44.44444444444444	5.555555555555555	18.333333333333336	17.5	SN-SupH
44.44444444444444	6.111111111111111	18.333333333333336	17.5	SN-SupH
44.44444444444444	6.666666666666667	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	7.222222222222222	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	7.777777777777778	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	8.333333333333334	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
44.44444444444444	8.88888888888889	18.333333333333336	17.5	SN-SupH | Sup H - SH
44.44444444444444	9.444444444444445	18.333333333333336	17.5	SN-SupH | Sup H - SH
44.44444444444444	10.0	18.333333333333336	17.5	SN-SupH | Sup H - SH
47.40740740740741	5.0	18.333333333333336	17.5	SN-SupH
47.40740740740741	5.555555555555555	18.333333333333336	17.5	SN-SupH
47.40740740740741	6.111111111111111	18.333333333333336	17.5	SN-SupH
47.40740740740741	6.666666666666667	18.333333333333336	17.5	SN-SupH
47.40740740740741	7.222222222222222	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	7.777777777777778	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	8.333333333333334	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	8.88888888888889	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
47.40740740740741	9.444444444444445	18.333333333333336	17.5	SN-SupH | Sup H - SH
47.40740740740741	10.0	18.333333333333336	17.5	SN-SupH | Sup H - SH
50.370370370370374	5.0	18.333333333333336	17.5	SN-SupH
50.370370370370374	5.555555555555555	18.333333333333336	17.5	SN-SupH
50.370370370370374	6.111111111111111	18.333333333333336	17.5	SN-SupH
50.370370370370374	6.666666666666667	18.333333333333336	17.5	SN-SupH
50.370370370370374	7.222222222222222	18.333333333333336	17.5	SN-SupH
50.370370370370374	7.777777777777778	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
50.370370370370374	8.333333333333334	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
50.370370370370374	8.88888888888889	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
50.370370370370374	9.444444444444445	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
50.370370370370374	10.0	18.333333333333336	17.5	SN-SupH | Sup H - SH
53.333333333333336	5.0	18.333333333333336	17.5	SN-SupH
53.333333333333336	5.555555555555555	18.333333333333336	17.5	SN-SupH
53.333333333333336	6.111111111111111	18.333333333333336	17.5	SN-SupH
53.333333333333336	6.666666666666667	18.333333333333336	17.5	SN-SupH
53.333333333333336	7.222222222222222	18.333333333333336	17.5	SN-SupH
53.333333333333336	7.777777777777778	18.333333333333336	17.5	SN-SupH
53.333333333333336	8.333333333333334	18.333333333333336	17.5	SN-SupH
53.333333333333336	8.88888888888889	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
53.333333333333336	9.444444444444445	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
53.333333333333336	10.0	18.333333333333336	17.5	SN-SupH | Sup H - Infinity
26.666666666666664	5.0	22.0	17.5	SN-SupH | Sup H - Infinity
26.666666666666664	5.555555555555555	22.0	17.5	SN-SH
26.666666666666664	6.111111111111111	22.0	17.5	SN-SH
26.666666666666664	6.666666666666667	22.0	17.5	SN-SH
26.666666666666664	7.222222222222222	22.0	17.5	SN-SH
26.666666666666664	7.777777777777778	22.0	17.5	no signal
26.666666666666664	8.333333333333334	22.0	17.5	no signal
26.666666666666664	8.88888888888889	22.0	17.5	no signal
26.666666666666664	9.444444444444445	22.0	17.5	no signal
26.666666666666664	10.0	22.0	17.5	no signal
29.629629629629626	5.0	22.0	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	5.555555555555555	22.0	17.5	SN-SupH | Sup H - Infinity
29.629629629629626	6.111111111111111	22.0	17.5	SN-SH
29.629629629629626	6.666666666666667	22.0	17.5	SN-SH
29.629629629629626	7.222222222222222	22.0	17.5	SN-SH
29.629629629629626	7.777777777777778	22.0	17.5	SN-SH
